,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
15,2018,Giannis Antetokounmpo,PF,23,MIL,75,75,2756,27.3,0.598,0.1,0.457,6.7,25.3,16.0,23.7,2.0,3.3,11.7,31.2,,8.3,3.6,11.9,0.207,,5.3,0.9,6.2,5.7,742,1402,0.529,43,140,0.307,699,1262,0.554,0.545,487,641,0.76,156,597,753,361,109,106,223,231,2014
93,2018,Jimmy Butler,SG,28,MIN,59,59,2164,23.7,0.59,0.217,0.461,4.2,12.7,8.4,20.6,2.7,1.0,8.9,24.9,,7.1,1.8,8.9,0.198,,5.0,0.7,5.8,4.2,437,921,0.474,70,200,0.35,367,721,0.509,0.512,363,425,0.854,79,235,314,288,116,24,108,78,1307
146,2018,Stephen Curry,PG,29,GSW,51,51,1631,28.2,0.675,0.58,0.35,2.7,14.4,9.0,30.3,2.4,0.4,13.3,31.0,,7.2,1.9,9.1,0.267,,7.8,0.0,7.7,4.0,428,864,0.495,212,501,0.423,216,363,0.595,0.618,278,302,0.921,36,225,261,310,80,8,153,114,1346
171,2018,Kevin Durant,SF,29,GSW,68,68,2325,26.0,0.64,0.338,0.331,1.6,19.5,11.2,25.5,1.0,4.0,12.9,30.4,,7.5,2.9,10.4,0.215,,6.7,0.6,7.3,5.5,630,1222,0.516,173,413,0.419,457,809,0.565,0.586,359,404,0.889,31,433,464,366,50,119,207,133,1792
233,2018,James Harden,SG,28,HOU,72,72,2551,29.8,0.619,0.498,0.502,1.8,15.2,8.6,45.1,2.4,1.7,15.1,36.1,,11.6,3.8,15.4,0.289,,8.5,1.4,9.9,7.7,651,1449,0.449,265,722,0.367,386,727,0.531,0.541,624,727,0.858,41,348,389,630,126,50,315,169,2191
281,2018,Dwight Howard,C,32,CHO,81,81,2463,20.5,0.577,0.008,0.639,11.0,33.8,22.2,7.1,1.0,4.4,15.1,24.2,,2.9,3.9,6.8,0.132,,-0.3,0.1,-0.1,1.2,506,911,0.555,1,7,0.143,505,904,0.559,0.556,334,582,0.574,255,757,1012,105,48,131,208,249,1347
304,2018,LeBron James,PF,33,CLE,82,82,3026,28.6,0.621,0.257,0.336,3.7,22.3,13.1,44.4,1.9,2.0,16.1,31.6,,11.0,3.0,14.0,0.221,,7.3,1.4,8.7,8.2,857,1580,0.542,149,406,0.367,708,1174,0.603,0.59,388,531,0.731,97,612,709,747,116,71,347,136,2251
362,2018,Kawhi Leonard,SF,26,SAS,9,9,210,26.0,0.572,0.315,0.342,3.1,19.1,11.1,17.7,4.3,3.6,11.1,30.6,,0.3,0.5,0.9,0.196,,5.2,4.9,10.1,0.6,52,111,0.468,11,35,0.314,41,76,0.539,0.518,31,38,0.816,6,36,42,21,18,9,16,9,146
625,2018,Russell Westbrook,PG,29,OKC,80,80,2914,24.7,0.524,0.193,0.336,5.6,25.7,15.3,49.8,2.5,0.6,16.4,34.1,,5.5,4.5,10.1,0.166,,4.8,1.5,6.3,6.1,757,1687,0.449,97,326,0.298,660,1361,0.485,0.477,417,566,0.737,152,652,804,820,147,20,381,200,2028
19,2019,Giannis Antetokounmpo,PF,24,MIL,72,72,2358,30.9,0.644,0.163,0.55,7.3,30.0,19.3,30.3,1.8,3.9,14.8,32.3,,8.9,5.5,14.4,0.292,,6.3,4.1,10.4,7.4,721,1247,0.578,52,203,0.256,669,1044,0.641,0.599,500,686,0.729,159,739,898,424,92,110,268,232,1994
102,2019,Jimmy Butler,SF-SG,29,TOT,65,65,2185,20.2,0.571,0.213,0.404,6.0,10.5,8.3,18.0,2.7,1.4,8.2,22.3,,5.4,2.5,7.9,0.173,,2.8,0.9,3.7,3.2,418,904,0.462,67,193,0.347,351,711,0.494,0.499,312,365,0.855,121,221,342,263,123,39,95,111,1215
103,2019,Jimmy Butler,SG,29,MIN,10,10,361,22.3,0.579,0.287,0.389,4.7,10.8,7.7,18.2,3.2,2.4,7.1,23.0,,1.0,0.4,1.3,0.176,,4.7,2.2,6.9,0.8,74,157,0.471,17,45,0.378,57,112,0.509,0.525,48,61,0.787,16,36,52,43,24,10,14,18,213
104,2019,Jimmy Butler,SF,29,PHI,55,55,1824,19.8,0.569,0.198,0.407,6.3,10.4,8.4,18.0,2.6,1.2,8.4,22.1,,4.4,2.1,6.6,0.172,,2.4,0.7,3.1,2.4,344,747,0.461,50,148,0.338,294,599,0.491,0.494,264,304,0.868,105,185,290,220,99,29,81,93,1002
159,2019,Stephen Curry,PG,30,GSW,69,69,2331,24.4,0.641,0.604,0.214,2.2,14.2,8.4,24.2,1.9,0.9,11.6,30.4,,7.2,2.5,9.7,0.199,,7.1,-0.5,6.6,5.1,632,1340,0.472,354,810,0.437,278,530,0.525,0.604,263,287,0.916,45,324,369,361,92,25,192,166,1881
191,2019,Kevin Durant,SF,30,GSW,78,78,2702,24.2,0.631,0.281,0.366,1.4,17.5,9.8,26.2,1.0,2.6,12.3,29.0,,8.6,2.9,11.5,0.204,,5.4,0.1,5.5,5.1,721,1383,0.521,137,388,0.353,584,995,0.587,0.571,448,506,0.885,33,464,497,457,58,84,225,155,2027
270,2019,James Harden,PG,29,HOU,78,78,2867,30.6,0.616,0.539,0.449,2.5,17.8,10.0,39.5,2.7,1.7,14.5,40.5,,11.4,3.8,15.2,0.254,,9.4,1.6,11.0,9.3,843,1909,0.442,378,1028,0.368,465,881,0.528,0.541,754,858,0.879,66,452,518,586,158,58,387,244,2818
313,2019,Dwight Howard,C,33,WAS,9,9,230,17.4,0.638,0.0,0.696,11.1,28.3,19.6,2.6,1.4,1.5,15.1,19.6,,0.4,0.2,0.6,0.124,,-1.3,-1.7,-3.0,-0.1,43,69,0.623,0,0,,43,69,0.623,0.623,29,48,0.604,24,59,83,4,7,4,16,34,115
335,2019,LeBron James,SF,34,LAL,55,55,1937,25.6,0.588,0.299,0.382,3.1,21.3,12.4,39.4,1.7,1.4,13.3,31.6,,4.7,2.6,7.2,0.179,,6.4,1.7,8.0,4.9,558,1095,0.51,111,327,0.339,447,768,0.582,0.56,278,418,0.665,57,408,465,454,72,33,197,94,1505
397,2019,Kawhi Leonard,SF,27,TOR,60,60,2040,25.8,0.606,0.267,0.377,4.2,18.6,11.6,16.4,2.5,1.0,8.4,30.3,,6.1,3.4,9.5,0.224,,6.1,1.1,7.2,4.7,560,1129,0.496,112,302,0.371,448,827,0.542,0.546,364,426,0.854,78,361,439,199,106,24,121,87,1596
675,2019,Russell Westbrook,PG,30,OKC,73,73,2630,21.1,0.501,0.279,0.306,4.1,28.3,15.8,46.5,2.5,1.1,16.3,30.9,,1.8,5.0,6.8,0.124,,2.8,2.4,5.2,4.7,630,1473,0.428,119,411,0.29,511,1062,0.481,0.468,296,451,0.656,109,698,807,784,142,33,325,245,1675
