,Player,Year,Age,TS%,PTM,ASTM,ORBM,STLM,BLKM,TOVM,USG%,FG%,2P%,3P%,FT%,PTS,year_start,year_end,position,height,weight,birth_date,college,C,PF,PG,PG-SG,SF,SF-SG,SG,SG-PG,Team
0,Allen Iverson,1999-00,24.0,0.496,28.414285714285715,4.685714285714286,1.0142857142857142,2.057142857142857,0.07142857142857142,3.2857142857142856,34.4,0.421,0.435,0.341,0.713,1989.0,1997,2010,G,182.88,165.0,"June 7, 1975",Georgetown University,0,0,0,0,0,0,1,0,PHI
1,Allen Iverson,2000-01,25.0,0.518,31.08450704225352,4.577464788732394,0.704225352112676,2.507042253521127,0.28169014084507044,3.3380281690140845,35.9,0.42,0.441,0.32,0.814,2207.0,1997,2010,G,182.88,165.0,"June 7, 1975",Georgetown University,0,0,0,0,0,0,1,0,PHI
2,Allen Iverson,2001-02,26.0,0.489,31.383333333333333,5.516666666666667,0.7333333333333333,2.8,0.21666666666666667,3.95,37.8,0.398,0.419,0.291,0.812,1883.0,1997,2010,G,182.88,165.0,"June 7, 1975",Georgetown University,0,0,0,0,0,0,1,0,PHI
3,Allen Iverson,2002-03,27.0,0.5,27.585365853658537,5.536585365853658,0.8292682926829268,2.7439024390243905,0.15853658536585366,3.4878048780487805,32.9,0.414,0.44,0.277,0.774,2262.0,1997,2010,G,182.88,165.0,"June 7, 1975",Georgetown University,0,0,0,0,0,0,1,0,PHI
4,Allen Iverson,2003-04,28.0,0.478,26.375,6.75,0.7083333333333334,2.3958333333333335,0.10416666666666667,4.354166666666667,35.3,0.387,0.408,0.286,0.745,1266.0,1997,2010,G,182.88,165.0,"June 7, 1975",Georgetown University,0,0,0,0,0,0,1,0,PHI
5,Allen Iverson,2004-05,29.0,0.532,30.69333333333333,7.946666666666666,0.68,2.4,0.12,4.586666666666667,35.0,0.424,0.451,0.308,0.835,2302.0,1997,2010,G,182.88,165.0,"June 7, 1975",Georgetown University,0,0,1,0,0,0,0,0,PHI
6,Allen Iverson,2005-06,30.0,0.543,33.013888888888886,7.388888888888889,0.6111111111111112,1.9444444444444444,0.1388888888888889,3.4444444444444446,35.8,0.447,0.465,0.323,0.814,2377.0,1997,2010,G,182.88,165.0,"June 7, 1975",Georgetown University,0,0,1,0,0,0,0,0,PHI
9,Allen Iverson,2006-07,31.0,0.538,27.437435897435893,7.215555555555556,0.38017094017094016,1.9641025641025642,0.16888888888888887,4.187692307692308,31.03333333333333,0.4363333333333333,0.4606666666666667,0.296,0.8130000000000001,1139.3333333333333,1997,2010,G,182.88,165.0,"June 7, 1975",Georgetown University,0,0,0,0,0,0,0,1,DEN
10,Allen Iverson,2007-08,32.0,0.567,26.390243902439025,7.146341463414634,0.573170731707317,1.951219512195122,0.14634146341463414,2.9878048780487805,26.7,0.458,0.482,0.345,0.809,2164.0,1997,2010,G,182.88,165.0,"June 7, 1975",Georgetown University,0,0,0,0,0,0,1,0,DEN
13,Allen Iverson,2008-09,33.0,0.5183333333333334,17.837231968810915,5.500649772579597,0.6754385964912281,1.3726445743989604,0.1770630279402209,2.804418453541261,24.566666666666666,0.42766666666666664,0.45566666666666666,0.27299999999999996,0.7623333333333333,663.3333333333334,1997,2010,G,182.88,165.0,"June 7, 1975",Georgetown University,0,0,0,1,0,0,0,0,DET
